,"Month,Date",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),is_rainy
0,"01,01",51.6,43.1,74.7,15.4,29.8,1.39,True
1,"01,02",37.8,22.6,54.4,8.9,30.2,0.0,False
2,"01,03",42.0,30.6,65.2,10.7,29.9,0.0,False
3,"01,04",41.9,27.7,57.6,10.0,29.9,0.0,False
4,"01,05",44.0,40.7,88.3,13.1,29.5,0.23,True
5,"01,06",43.5,27.8,55.0,16.9,29.9,0.22,True
6,"01,07",29.7,7.9,40.7,11.0,30.4,0.0,False
7,"01,08",42.0,37.5,84.3,6.1,29.9,0.07,True
8,"01,09",43.2,28.8,59.4,18.4,29.6,0.21,True
9,"01,10",33.4,17.5,52.4,22.5,29.7,0.0,False
10,"01,11",27.1,8.5,46.3,20.2,30.2,0.0,False
11,"01,12",27.5,6.9,42.5,8.4,30.5,0.0,False
12,"01,13",29.5,10.9,46.4,10.9,30.4,0.0,False
13,"01,14",27.6,12.8,55.0,12.0,30.2,0.0,False
14,"01,15",30.5,13.4,49.3,7.0,30.1,0.0,False
15,"01,16",35.1,20.2,55.1,11.3,30.1,0.0,False
16,"01,17",30.0,9.4,42.6,9.5,30.3,0.0,False
17,"01,18",33.7,28.1,80.6,7.2,30.1,0.03,True
18,"01,19",35.6,24.0,63.5,9.3,30.1,0.0,False
19,"01,20",34.1,30.0,85.7,17.2,29.5,1.14,True
20,"01,21",11.7,-1.9,55.0,26.8,30.0,0.2,True
21,"01,22",22.1,1.5,42.9,11.9,30.6,0.0,False
22,"01,23",36.5,19.6,52.0,9.2,30.3,0.0,False
23,"01,24",50.4,46.1,85.5,15.6,29.5,0.08,True
24,"01,25",35.8,14.2,42.9,15.7,29.9,1.4,True
25,"01,26",29.9,4.3,34.2,10.0,30.2,0.0,False
26,"01,27",39.5,24.2,56.4,10.4,30.0,0.0,False
27,"01,28",30.4,10.8,44.6,9.6,30.0,0.0,False
28,"01,29",34.6,26.3,72.1,9.4,29.9,0.0,False
29,"01,30",26.1,11.6,56.8,20.4,29.9,0.27,True
30,"01,31",9.9,-12.4,36.4,15.3,30.3,0.0,False
31,"02,01",17.0,-6.6,35.1,9.4,30.4,0.0,False
32,"02,02",25.6,6.2,44.3,10.4,30.2,0.0,False
33,"02,03",40.0,26.9,60.1,5.6,30.1,0.0,False
34,"02,04",46.4,33.0,60.6,5.4,30.0,0.0,False
35,"02,05",50.4,38.7,66.8,4.9,29.9,0.0,False
36,"02,06",40.6,30.1,66.8,10.7,30.1,0.0,False
37,"02,07",41.1,38.1,89.2,10.3,30.1,0.56,True
38,"02,08",43.6,35.1,76.9,10.2,29.9,0.33,True
39,"02,09",29.1,7.8,40.9,22.2,30.5,0.07,True
40,"02,10",29.7,9.0,43.0,9.8,30.6,0.0,False
41,"02,11",34.2,16.8,50.0,6.8,30.3,0.0,False
42,"02,12",30.3,22.8,76.6,14.8,30.2,0.0,False
43,"02,13",36.3,28.0,74.8,14.6,29.6,0.76,True
44,"02,14",38.3,18.5,45.9,12.5,30.0,0.0,False
45,"02,15",47.1,37.6,69.5,8.6,29.8,0.0,False
46,"02,16",39.8,20.0,45.5,15.4,29.8,0.0,False
47,"02,17",31.9,15.4,51.3,9.4,30.1,0.0,False
48,"02,18",34.5,28.6,80.5,12.0,29.9,0.13,True
49,"02,19",29.1,9.6,45.2,13.8,30.5,0.01,True
50,"02,20",28.3,19.1,71.6,8.3,30.4,0.0,False
51,"02,21",38.8,32.1,79.5,9.1,29.9,0.73,True
52,"02,22",40.5,22.8,49.4,13.4,30.3,0.0,False
53,"02,23",36.0,23.7,61.2,7.9,30.4,0.0,False
54,"02,24",40.3,37.2,89.8,12.4,29.7,0.51,True
55,"02,25",38.8,12.5,34.5,27.6,29.7,0.22,True
56,"02,26",29.5,7.7,40.2,17.7,30.3,0.0,False
57,"02,27",25.8,9.0,49.6,10.4,30.3,0.0,False
58,"02,28",29.8,18.9,66.8,10.0,30.1,0.03,True
59,"03,01",29.7,23.5,78.6,11.1,30.3,0.09,True
60,"03,02",34.3,28.9,81.3,10.1,30.1,0.41,True
61,"03,03",36.4,27.1,71.2,8.3,28.1,0.05,True
62,"03,04",34.3,24.8,71.0,14.3,22.3,0.84,True
63,"03,05",26.9,6.5,42.5,13.4,30.0,0.0,False
64,"03,06",23.2,3.8,44.2,16.8,30.1,0.0,False
65,"03,07",25.2,5.5,43.1,13.1,30.3,0.0,False
66,"03,08",31.3,13.7,48.5,6.3,30.3,0.0,False
67,"03,09",39.1,21.5,51.5,6.8,30.3,0.0,False
68,"03,10",37.7,33.9,87.0,13.8,30.1,0.3,True
69,"03,11",46.7,28.0,52.4,14.6,30.0,0.36,True
70,"03,12",38.3,18.2,44.6,17.7,30.2,0.0,False
71,"03,13",38.2,21.3,51.5,8.3,30.3,0.0,False
72,"03,14",47.2,33.8,60.6,10.5,30.2,0.0,False
73,"03,15",56.5,48.0,74.3,11.8,29.8,0.0,False
74,"03,16",48.0,25.1,41.4,18.4,29.9,0.27,True
