,"Month,Date",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,is_rainy
0,"01,01",37.8,26.9,65.5,8.0,30.4,0.43,,,,,,,,,,,,,,,,,,,True
1,"01,02",43.0,34.7,74.3,12.0,29.9,0.72,,,,,,,,,,,,,,,,,,,True
2,"01,03",38.1,31.0,76.0,15.4,30.0,0.0,,,,,,,,,,,,,,,,,,,False
3,"01,04",39.8,31.5,72.6,8.6,29.9,0.17,,,,,,,,,,,,,,,,,,,True
4,"01,05",40.3,28.9,64.1,8.1,29.9,0.0,,,,,,,,,,,,,,,,,,,False
5,"01,06",39.0,27.0,62.6,13.7,29.9,0.0,,,,,,,,,,,,,,,,,,,False
6,"01,07",37.4,21.5,53.1,14.5,30.1,0.0,,,,,,,,,,,,,,,,,,,False
7,"01,08",34.0,20.2,57.1,10.7,30.0,0.0,,,,,,,,,,,,,,,,,,,False
8,"01,09",33.1,15.6,49.1,14.9,29.9,0.0,,,,,,,,,,,,,,,,,,,False
9,"01,10",36.3,19.1,50.1,9.9,30.1,0.0,,,,,,,,,,,,,,,,,,,False
10,"01,11",34.1,21.5,60.0,3.2,30.3,0.0,,,,,,,,,,,,,,,,,,,False
11,"01,12",39.3,23.9,54.7,6.6,30.1,0.0,,,,,,,,,,,,,,,,,,,False
12,"01,13",40.5,23.4,50.8,6.0,30.0,0.0,,,,,,,,,,,,,,,,,,,False
13,"01,14",44.0,30.3,58.9,4.4,29.8,0.0,,,,,,,,,,,,,,,,,,,False
14,"01,15",42.4,35.9,77.8,12.7,29.9,0.0,,,,,,,,,,,,,,,,,,,False
15,"01,16",44.2,36.8,76.0,13.8,29.5,1.15,,,,,,,,,,,,,,,,,,,True
16,"01,17",42.1,23.5,48.3,15.8,29.6,0.0,,,,,,,,,,,,,,,,,,,False
17,"01,18",43.2,25.3,49.6,12.8,29.7,0.0,,,,,,,,,,,,,,,,,,,False
18,"01,19",40.2,22.0,48.8,14.8,30.0,0.0,,,,,,,,,,,,,,,,,,,False
19,"01,20",37.2,20.2,52.4,12.2,29.9,0.0,,,,,,,,,,,,,,,,,,,False
20,"01,21",35.4,15.7,44.9,8.5,29.8,0.02,,,,,,,,,,,,,,,,,,,True
21,"01,22",43.3,21.1,42.0,15.0,29.7,0.0,,,,,,,,,,,,,,,,,,,False
22,"01,23",32.5,10.5,40.3,20.3,30.0,0.0,,,,,,,,,,,,,,,,,,,False
23,"01,24",29.0,7.5,41.0,17.7,30.1,0.0,,,,,,,,,,,,,,,,,,,False
24,"01,25",31.9,11.3,43.0,9.4,30.1,0.0,,,,,,,,,,,,,,,,,,,False
25,"01,26",34.4,23.7,67.1,11.5,29.9,0.0,,,,,,,,,,,,,,,,,,,False
26,"01,27",36.3,27.0,70.2,10.6,29.9,0.07,,,,,,,,,,,,,,,,,,,True
27,"01,28",31.2,13.1,47.8,18.5,30.1,0.0,,,,,,,,,,,,,,,,,,,False
28,"01,29",22.7,4.2,45.1,24.2,30.1,0.0,,,,,,,,,,,,,,,,,,,False
29,"01,30",25.5,5.9,44.5,14.5,30.3,0.0,,,,,,,,,,,,,,,,,,,False
30,"01,31",24.4,11.0,57.7,10.0,30.3,0.0,,,,,,,,,,,,,,,,,,,False
31,"02,01",30.6,27.4,87.9,26.3,29.8,0.19,,,,,,,,,,,,,,,,,,,True
32,"02,02",32.6,27.7,82.2,17.4,29.4,0.75,,,,,,,,,,,,,,,,,,,True
33,"02,03",33.5,22.6,64.8,14.0,29.5,0.02,,,,,,,,,,,,,,,,,,,True
34,"02,04",37.3,20.6,51.3,11.8,29.8,0.0,,,,,,,,,,,,,,,,,,,False
35,"02,05",41.7,29.5,62.4,8.8,29.7,0.0,,,,,,,,,,,,,,,,,,,False
36,"02,06",40.4,14.9,36.1,14.4,30.0,0.06,,,,,,,,,,,,,,,,,,,True
37,"02,07",33.9,26.9,77.4,10.9,29.9,0.0,,,,,,,,,,,,,,,,,,,False
38,"02,08",25.4,7.8,48.0,11.8,30.3,0.39,,,,,,,,,,,,,,,,,,,True
39,"02,09",30.5,22.9,73.5,8.9,30.2,0.0,,,,,,,,,,,,,,,,,,,False
40,"02,10",30.6,16.7,58.1,7.6,30.3,0.01,,,,,,,,,,,,,,,,,,,True
41,"02,11",29.2,19.8,69.5,7.6,30.2,0.1,,,,,,,,,,,,,,,,,,,True
42,"02,12",26.8,4.4,39.8,7.6,30.3,0.0,,,,,,,,,,,,,,,,,,,False
43,"02,13",28.5,7.7,41.6,10.2,30.3,0.0,,,,,,,,,,,,,,,,,,,False
44,"02,14",32.2,23.4,70.3,8.2,30.2,0.0,,,,,,,,,,,,,,,,,,,False
45,"02,15",33.7,27.4,78.3,7.7,30.1,0.0,,,,,,,,,,,,,,,,,,,False
46,"02,16",40.0,34.0,81.4,10.4,29.7,0.83,,,,,,,,,,,,,,,,,,,True
47,"02,17",30.1,8.2,40.8,12.4,30.3,0.03,,,,,,,,,,,,,,,,,,,True
48,"02,18",27.6,18.4,71.3,12.7,30.4,0.0,,,,,,,,,,,,,,,,,,,False
